"user_agent","_count"
"HbbTV/1.4.1 (;Panasonic;VIERA 2018;4.122;6403-0003 0040-0000;) PanasonicSDK/2017","2690"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-A336E Build/TP1A.220624.014)","2674"
"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.179 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","2671"
"Dalvik/2.1.0 (Linux; U; Android 9; VEON 4K Android TV Build/PTO6.210414.001)","2646"
"Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.9.7 Chrome/56.0.2924.122 Safari/537.36 Sky_STB_ST412_2018/1.0.0 (Sky, EM150UK, )","2500"
"Dalvik/2.1.0 (Linux; U; Android 12; SM-A032F Build/SP1A.210812.016)","2491"
"HbbTV/1.4.1 (;Panasonic;VIERA 2018;4.065;7103-0003 0002-0000;) PanasonicSDK/2017","2459"
"Dalvik/2.1.0 (Linux; U; Android 12; SM-A217F Build/SP1A.210812.016)","2423"
"Mozilla/5.0 (Linux; Android 7.1.2; AFTMM Build/NS6297; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/112.0.5615.197 Mobile Safari/537.36","2414"
"Mozilla/5.0 (Linux; Android 5.1.1; AFTT Build/LVY48F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/108.0.5359.160 Mobile Safari/537.36","2411"
"Dalvik/2.1.0 (Android TV; Android 10; Sony BRAVIA 4K VH21) 7plus/5.5.1","2398"
"Takin/3.0.0 (Linux arm ; U; en), FetchTV_STB_BCM7252S/3.7.10691 (FetchTV, M616T, Wired)","2326"
"Dalvik/2.1.0 (Linux; U; Android 9; LM-T600 Build/PKQ1.190522.001)","2318"
"Dalvik/2.1.0 (Linux; U; Android 9; BRAVIA 4K GB ATV3 Build/PTT1.190515.001.S43)","2302"
"Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.47 Safari/537.36 CrKey/1.36.159268","2273"
"HbbTV/1.4.1 (;Panasonic;VIERA 2018;4.122;6403-0003 0008-0000;) PanasonicSDK/2017","2246"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-G996B Build/TP1A.220624.014)","2237"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-A536E Build/TP1A.220624.014)","2217"
"Dalvik/2.1.0 (Linux; U; Android 12; SM-G975F Build/SP1A.210812.016)","2209"
"Dalvik/2.1.0 (Linux; U; Android 8.1.0; SM-T580 Build/M1AJQ)","2192"
"Dalvik/2.1.0 (Linux; U; Android 8.0.0; globe Build/GLB.MP50.0)","2186"
"Dalvik/2.1.0 (Linux; U; Android 12; CPH2477 Build/SP1A.210812.016)","2177"
"Dalvik/2.1.0 (Android TV; Android 9; Sony BRAVIA 4K UR3) 7plus/5.5.1","2172"
"Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.9.7 Chrome/56.0.2924.122 Safari/537.36 Sky_STB_ST419_2018/1.0.0 (Sky, ES240UK, )","2162"
"Dalvik/2.1.0 (Linux; U; Android 9; AFTDCT31 Build/PS7646.3550N)","2158"
"Dalvik/2.1.0 (Linux; U; Android 9; AFTR Build/PS7646.3550N)","2154"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-A515F Build/TP1A.220624.014)","2090"
"Dalvik/2.1.0 (Linux; U; Android 8.0.0; A2 Build/OPR6.170623.013)","2066"
"Dalvik/2.1.0 (Linux; U; Android 9; BeyondTV2 Build/PPR1.180610.011)","2061"
"HbbTV/1.4.1 (;Panasonic;VIERA 2020;4.400;4703-0003 0000-0200;) PanasonicSDK/2017","1997"
"Dalvik/2.1.0 (Linux; U; Android 11; PANASONIC TV Build/RTT7.220211.001)","1994"
"Takin/3.0.0 (Linux arm ; U; en), FetchTV_STB_BCM7250/3.7.10702 (FetchTV, H626T, Wireless)","1985"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-A035F Build/TP1A.220624.014)","1966"
"Dalvik/2.1.0 (Linux; U; Android 11; SM-A105G Build/RP1A.200720.012)","1958"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-G780F Build/TP1A.220624.014)","1938"
"Dalvik/2.1.0 (Linux; U; Android 9; SM-G950F Build/PPR1.180610.011)","1938"
"Dalvik/2.1.0 (Linux; U; Android 8.0.0; BRAVIA 4K GB ATV3 Build/OPR2.170623.027.S25)","1924"
"Dalvik/2.1.0 (Linux; U; Android 11; ATV R2 Build/RTT7.220308.001)","1900"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-P610 Build/TP1A.220624.014)","1885"
"Roku/DVP-12.0 (12.0.0.4184-50)","1856"
"Mozilla/5.0 (Linux; Android 9; AFTSSS Build/PS7646.3560N; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/112.0.5615.197 Mobile Safari/537.36","1848"
"Dalvik/2.1.0 (Linux; U; Android 13; CPH2271 Build/TP1A.220905.001)","1839"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-S906E Build/TP1A.220624.014)","1817"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-A736B Build/TP1A.220624.014)","1807"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-T220 Build/TP1A.220624.014)","1798"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-A528B Build/TP1A.220624.014)","1757"
"Dalvik/2.1.0 (Linux; U; Android 11; PANASONIC TV Build/RTT7.220318.001)","1753"
"Dalvik/2.1.0 (Linux; U; Android 11; Smart TV Build/RP1A.200622.001)","1735"
"Dalvik/2.1.0 (Linux; U; Android 13; CPH2273 Build/TP1A.220905.001)","1720"
"Dalvik/2.1.0 (Linux; U; Android 11; Smart TV Pro Build/AR2101)","1704"
"Dalvik/2.1.0 (Linux; U; Android 10; SM-G965F Build/QP1A.190711.020)","1702"
"Dalvik/2.1.0 (Android TV; Android 9; Sony BRAVIA 4K UR2) 7plus/5.5.1","1653"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-G980F Build/TP1A.220624.014)","1649"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-A226B Build/TP1A.220624.014)","1612"
"Dalvik/2.1.0 (Linux; U; Android 11; BRAVIA VU3 Build/RTT7.210923.001)","1572"
"Dalvik/2.1.0 (Linux; U; Android 11; SM-A032F Build/RP1A.201005.001)","1567"
"Dalvik/2.1.0 (Linux; U; Android 10; SWTV-20AE Build/QTG3.200617.002)","1566"
"Dalvik/2.1.0 (Linux; U; Android 10; BRAVIA VH1 Build/QTG3.200305.006.S313)","1550"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-A525F Build/TP1A.220624.014)","1544"
"Dalvik/2.1.0 (Linux; U; Android 9; Kogan TV Build/PTO2.210830.001)","1532"
"Dalvik/2.1.0 (Linux; U; Android 9; MiTV-AESP0 Build/PI)","1516"
"Dalvik/2.1.0 (Linux; U; Android 10; CPH1931 Build/QKQ1.200209.002)","1495"
"Dalvik/2.1.0 (Linux; U; Android 12; SM-A315G Build/SP1A.210812.016)","1494"
"Dalvik/2.1.0 (Linux; U; Android 11; PANASONIC TV Build/RTT7.221026.001)","1486"
"Mozilla/5.0 (Linux; Android 12; Chromecast Build/STTE.230319.008.R1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.196 Mobile Safari/537.36","1484"
"HbbTV/1.4.1 (;Panasonic;VIERA 2019;4.743;5803-0003 0080-0000;) PanasonicSDK/2017","1474"
"Dalvik/2.1.0 (Linux; U; Android 8.1.0; SM-J410F Build/M1AJB)","1469"
"Dalvik/2.1.0 (Linux; U; Android 9; BeyondTV Build/PPR1.180610.011)","1454"
"Dalvik/2.1.0 (Linux; U; Android 11; 2020/2021 UHD Android TV Build/RTM2.210929.098)","1442"
"Roku/DVP-12.0 (12.0.0.4184-CU)","1439"
"Dalvik/2.1.0 (Linux; U; Android 10; SM-A013G Build/QP1A.190711.020)","1438"
"Opera/9.80 (Linux mips) Presto/2.12.407 Version/12.51 TiVo-Device/20.12.1.RC9-VMC-2 (Virgin_Media, OnDemand_TCDC00000, wired)","1434"
"Dalvik/2.1.0 (Linux; U; Android 10; SM-T590 Build/QP1A.190711.020)","1430"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-A326B Build/TP1A.220624.014)","1424"
"Roku/DVP-12.0 (12.0.0.4184-CR)","1417"
"Roku/DVP-12.0 (12.0.0.4184-91)","1393"
"Dalvik/2.1.0 (Linux; U; Android 9; JVC EU 4K Android TV Build/PTO6.211220.001)","1392"
"HbbTV/1.4.1 (;Panasonic;VIERA 2017;4.242;3303-0003 0040-0000;) PanasonicSDK/2017","1382"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-S911B Build/TP1A.220624.014)","1374"
"Dalvik/2.1.0 (Linux; U; Android 12; SM-A115F Build/SP1A.210812.016)","1374"
"Dalvik/2.1.0 (Linux; U; Android 8.1.0; SM-A260F Build/OPR6)","1368"
"HbbTV/1.4.1 (;Panasonic;VIERA 2020;4.400;4703-0003 0080-0000;) PanasonicSDK/2017","1360"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-A037F Build/TP1A.220624.014)","1346"
"Dalvik/2.1.0 (Linux; U; Android 9; ANDROID TV MEDIA BOX Build/PI)","1343"
"Dalvik/2.1.0 (Linux; U; Android 10; BRAVIA VH1 Build/QTG3.200305.006.S293)","1341"
"Dalvik/2.1.0 (Linux; U; Android 9; AI PONT Build/PTO1.210510.001)","1338"
"Dalvik/2.1.0 (Linux; U; Android 12; SM-N975F Build/SP1A.210812.016)","1307"
"Mozilla/5.0 (M605T; U; Linux2.6.37 BCM7231; en-US; rv:1) FetchTV 2.0.2740 (FetchTV)","1299"
"Dalvik/2.1.0 (Android TV; Android 9; Sony BRAVIA 4K GB) 7plus/5.5.1","1286"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-T733 Build/TP1A.220624.014)","1276"
"Mozilla/5.0 (Linux; Android 9; AFTSS Build/PS7646.3550N; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/112.0.5615.197 Mobile Safari/537.36","1274"
"HbbTV/1.4.1 (;Panasonic;VIERA 2018;4.122;6103-0003 0000-0100;) PanasonicSDK/2017","1271"
"Dalvik/2.1.0 (Linux; U; Android 9; VEON 4K Android TV Build/PTO6.220524.001)","1269"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-G986B Build/TP1A.220624.014)","1253"
"Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.9.7 Chrome/56.0.2924.122 Safari/537.36 Sky_STB_BC7445_2018/1.0.0 (Sky, ES140UK, )","1252"
"Dalvik/2.1.0 (Linux; U; Android 12; SM-A135F Build/SP1A.210812.016)","1252"
"Dalvik/2.1.0 (Linux; U; Android 10; SM-N960F Build/QP1A.190711.020)","1250"
"HbbTV/1.4.1 (;Panasonic;VIERA 2018;4.122;0c03-0003 0000-0100;) PanasonicSDK/2017","1224"
"Dalvik/2.1.0 (Linux; U; Android 9; BRAVIA 4K GB ATV3 Build/PTT1.190515.001.S38)","1196"
"Dalvik/2.1.0 (Linux; U; Android 11; SM-T515 Build/RP1A.200720.012)","1195"
"Dalvik/2.1.0 (Linux; U; Android 11; SM-A022F Build/RP1A.200720.012)","1187"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-G988B Build/TP1A.220624.014)","1159"
"Dalvik/2.1.0 (Linux; U; Android 11; BRAVIA VU3 Build/RTK2.220814.001)","1155"
"Dalvik/2.1.0 (Linux; U; Android 9; BRAVIA 4K GB Build/PTT1.190515.001.S43)","1143"
"Roku/DVP-12.0 (12.0.0.4182-93)","1141"
"Dalvik/2.1.0 (Linux; U; Android 9; AFTSO001 Build/PS7646.3550N)","1133"
"Dalvik/2.1.0 (Linux; U; Android 13; SM-S916B Build/TP1A.220624.014)","1130"
"Dalvik/2.1.0 (Linux; U; Android 8.0.0; BRAVIA 4K GB Build/OPR2.170623.027.S25)","1125"
"Dalvik/2.1.0 (Linux; U; Android 11; SM-T290 Build/RP1A.200720.012)","1121"
"Dalvik/2.1.0 (Linux; U; Android 9; PANASONIC TV Build/PTT1.201001.001)","1116"
"Roku/DVP-12.0 (12.0.0.4182-30)","1110"
"HbbTV/1.4.1 (;Panasonic;VIERA 2020;4.400;4703-0003 0002-0000;) PanasonicSDK/2017","1099"
"Roku/DVP-12.0 (12.0.0.4184-46)","1092"
"Mozilla/5.0 (Linux; Android 12; Chromecast HD Build/STTE.230319.008.R1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.196 Mobile Safari/537.36","1087"
"Dalvik/2.1.0 (Linux; U; Android 10; CPH2185 Build/QP1A.190711.020)","1080"
"Mozilla/5.0 (Linux armv7l) AppleWebKit/602.1.28+ (KHTML, like Gecko) Version/9.1 Safari/601.5.17 HZN/5.02 (MN=EOS-1008C;PC=EOSSTB;FV=EOS1008C-mon-prd-02.02-163-ak-AL-20230510210000-na001;)","1075"
"HbbTV/1.4.1 (;Panasonic;VIERA 2017;4.242;3303-0003 0000-0100;) PanasonicSDK/2017","1068"
"Dalvik/2.1.0 (Android TV; Android 10; Sony BRAVIA VH1) 7plus/5.5.1","1067"
"Opera/9.80 (Linux mips) Presto/2.12.407 Version/12.51 TiVo-Device/20.12.1.RC9-VMS-2 (Virgin_Media, OnDemand_TCDC8A000, wired)","1067"
"HbbTV/1.4.1 (;Panasonic;VIERA 2019;4.743;4f03-0003 0000-0800;) PanasonicSDK/2017","1058"
